year,week,h_team,a_team,div_game,line,over,temp,elo_d,appg_d,wins_d,poss_d,otds_d,ryds_d,rypc_d,npyd_d,pypa_d,cpct_d,1dcv_d,3pct_d,sack_d,ints_d,turn_d,peny_d,h_wins,line_w,over_w
2003,1.0,PIT,BAL,1.0,-4.0,38.5,71.0,74.31200000000013,4.625,0.1875,5.76041666667,0.75,20.5,-0.0560963114754,61.5625,0.815469311822,0.0882358513085,5.125,0.0447804776306,-0.4375,0.5,0.25,-8.375,1.0,1.0,1.0
2003,1.0,SEA,NO,0.0,-3.0,48.5,66.0,8.968000000000302,-4.8125,-0.125,0.439583333333,-0.4375,-1.5,-0.0943334425156,39.8125,0.402687092709,0.0740992888039,3.5,0.0198412698413,-0.25,0.0625,-0.125,-7.4375,1.0,1.0,0.0
2003,1.0,SF,CHI,0.0,-6.5,40.5,66.0,93.82600000000002,5.375,0.375,4.5875,0.5625,56.25,1.07063244788,25.375,0.15588302645,0.0490625796235,5.125,0.184538506761,-1.375,-0.5,-1.125,-8.6875,1.0,1.0,1.0
2003,1.0,TEN,OAK,0.0,-3.5,46.0,75.0,-36.71300000000019,-5.1875,0.0,1.33854166667,-0.5625,11.875,-0.436077786286,-72.1875,-0.693121163166,-0.0632827140549,-3.375,-0.0202603593693,-0.9375,0.3125,0.375,-12.6875,1.0,1.0,0.0
2003,1.0,WAS,NYJ,0.0,-3.0,40.0,72.0,-94.47499999999991,-3.25,-0.125,0.722916666667,-0.1875,16.9375,0.228755656109,-10.25,-1.15953008871,-0.141677885768,0.1875,-0.00606527390007,0.375,0.625,1.3125,17.6875,1.0,0.0,0.0
2003,2.0,ARI,SEA,1.0,5.0,44.5,98.0,-158.19900000000007,-4.40625,-0.5625,4.18802083333,-0.25,-25.40625,0.265556219424,68.1875,0.0588765525344,0.00149346871846,-0.28125,0.174939613527,-0.25,0.6875,1.71875,24.53125,0.0,0.0,0.0
2003,2.0,ATL,WAS,0.0,-3.0,39.5,70.0,61.66100000000006,8.46875,0.09375,0.963541666667,1.21875,-16.03125,-0.592623338496,23.78125,0.581679382509,-0.0618557578636,0.40625,0.0420254847751,-1.0625,-0.25,-0.90625,-13.15625,0.0,0.0,1.0
2003,2.0,BAL,CLE,1.0,-2.5,39.0,73.0,-4.5509999999997035,3.625,-0.0625,-3.81875,0.75,0.53125,0.137872493226,-37.15625,-1.43553826482,-0.121686622946,-1.0625,-0.0398987914976,1.1875,-0.75,0.03125,8.53125,1.0,1.0,1.0
2003,2.0,GB,DET,1.0,-7.0,45.5,63.0,130.24300000000017,-5.625,-0.21875,3.39895833333,-0.09375,12.25,0.276962697726,43.28125,0.324845930271,0.0927169499538,5.375,0.064415954416,0.71875,1.71875,2.40625,11.90625,1.0,1.0,0.0
2003,2.0,IND,TEN,1.0,-2.5,44.0,70.0,-71.65499999999997,-8.5625,-0.03125,-4.83125,-0.96875,-16.71875,0.764597142436,-4.03125,-0.973685819732,0.010647405907,-0.625,0.106435985291,0.0625,0.625,0.21875,-34.03125,1.0,1.0,0.0
2003,2.0,JAX,BUF,0.0,3.0,42.0,86.0,-64.77699999999982,-5.59375,-0.5625,-1.56666666667,-0.125,-0.59375,-0.0430230422498,-18.03125,0.631850720086,0.10439125145,-5.5,-0.136920412556,0.625,-0.6875,-1.0,-29.3125,0.0,0.0,1.0
2003,2.0,KC,PIT,0.0,-3.5,48.0,67.0,-49.440000000000055,-1.09375,-0.0625,-1.31875,-0.125,29.5625,1.25603792653,-2.5625,0.205503881831,-0.0454686566639,-1.0,-0.0359875570638,0.25,0.21875,-0.15625,-38.375,1.0,1.0,1.0
2003,2.0,LAC,DEN,1.0,3.0,43.0,73.0,-114.66200000000026,-9.84375,-0.53125,-3.36510416667,-0.1875,-64.03125,-0.708516021116,9.625,0.155158017983,0.00983529414635,-4.375,-0.103780872593,0.3125,-0.625,-0.59375,-3.75,0.0,0.0,1.0
2003,2.0,LAR,SF,1.0,-3.0,47.5,70.0,-36.33400000000006,-19.59375,-0.59375,-3.4046875,-1.625,-87.21875,-0.636483461449,64.78125,0.333872881397,0.0580306024078,-3.34375,-0.15846493068,3.75,0.53125,1.875,11.0625,1.0,0.0,1.0
2003,2.0,MIN,CHI,1.0,-9.0,44.5,70.0,73.6550000000002,14.90625,0.5625,7.59895833333,1.46875,85.84375,1.65483229347,75.3125,2.33985675896,0.0606377761703,9.3125,0.229619503304,-1.34375,-1.34375,-1.3125,26.09375,1.0,1.0,0.0
2003,2.0,NO,HOU,0.0,-8.0,40.5,70.0,109.19300000000021,1.34375,-0.34375,1.1703125,0.8125,-2.46875,0.460485926315,36.5,-0.765181054685,0.0504682002765,4.59375,0.16322348866,-0.21875,0.5,2.03125,20.375,1.0,1.0,1.0
2003,2.0,NYG,DAL,1.0,-7.5,36.5,72.0,175.03800000000024,8.21875,0.65625,1.55677083333,-0.125,3.78125,-0.489181113738,8.0625,0.227964757534,0.0751722682504,2.1875,0.0769907908992,-1.4375,-0.5625,0.28125,4.40625,0.0,0.0,1.0
2003,2.0,NYJ,MIA,1.0,3.0,37.0,79.0,38.46199999999999,-4.09375,0.0,-2.02916666667,-1.15625,-42.125,-0.996968267581,-40.5,-1.00097463748,0.0882480599298,-2.0625,-0.0561348066026,-0.28125,-1.15625,-1.84375,-46.4375,0.0,0.0,0.0
2003,2.0,OAK,CIN,0.0,-12.0,45.0,80.0,261.5959999999998,10.34375,0.28125,0.102604166667,1.03125,-7.5,0.638411982656,32.71875,0.44724799254,0.0789551034174,0.59375,-0.0506778256301,-0.03125,-1.375,-2.0,80.5625,1.0,0.0,0.0
2003,2.0,PHI,NE,0.0,-4.0,38.0,82.0,68.03399999999988,1.0625,0.09375,-0.9375,0.15625,30.25,1.64232789081,-11.03125,-0.0230771550944,-0.00504530978984,-1.28125,-0.127922077922,0.65625,-1.59375,-1.0,-47.9375,0.0,0.0,1.0
2003,2.0,TB,CAR,1.0,-9.0,34.5,91.0,225.4570000000001,-0.75,0.15625,6.915625,-0.40625,-16.90625,-0.76853093908,82.46875,0.975193471386,0.140427157453,2.53125,0.156919524567,-2.59375,-0.875,-1.09375,-9.375,0.0,0.0,0.0
2003,3.0,ARI,GB,0.0,7.5,42.5,102.0,-192.55399999999986,-13.5,-0.479166666667,1.73888888889,-1.27083333333,-26.9583333333,-0.078364336213,34.1875,0.142826847595,-0.028229455175,-0.916666666667,0.0997745571659,1.29166666667,0.125,0.8125,2.16666666667,1.0,1.0,0.0
2003,3.0,ATL,TB,1.0,6.5,35.5,70.0,-120.5150000000001,11.8333333333,-0.0416666666667,-4.89791666667,1.58333333333,32.5625,0.967674411039,-62.7916666667,0.783017290679,-0.108199223247,-2.72916666667,-0.152187319766,1.22916666667,0.375,0.458333333333,-52.375,0.0,0.0,1.0
2003,3.0,CIN,PIT,1.0,4.5,44.5,73.0,-217.18499999999995,-10.3125,-0.5,0.195138888889,-0.895833333333,2.54166666667,-0.263984434798,-21.0833333333,-0.866405815228,-0.0708593677178,1.08333333333,-0.0410189337319,0.0625,0.333333333333,0.3125,-39.75,0.0,0.0,0.0
2003,3.0,DEN,OAK,1.0,-5.5,45.0,72.0,-22.853999999999814,6.79166666667,0.291666666667,6.4125,0.895833333333,81.5,0.390694276671,-31.8958333333,0.222961809259,-0.0250714884537,5.8125,0.144872344377,-0.458333333333,1.20833333333,0.833333333333,-35.5208333333,1.0,1.0,0.0
2003,3.0,DET,MIN,1.0,4.0,47.5,70.0,-121.52800000000002,-3.75,-0.395833333333,-8.21701388889,-1.02083333333,-99.4583333333,-1.48936506176,2.60416666667,-1.81304275754,-0.117903386025,-7.58333333333,-0.198880781337,-1.9375,1.04166666667,-0.208333333333,-2.64583333333,0.0,0.0,0.0
2003,3.0,HOU,KC,0.0,7.5,44.0,70.0,-208.26299999999992,-17.625,-0.416666666667,-1.72048611111,-2.41666666667,-50.8125,-1.24887079331,-6.77083333333,-0.826630801463,-0.151165250618,-4.8125,-0.136726190965,1.375,-0.291666666667,-0.375,26.1458333333,0.0,0.0,1.0
2003,3.0,IND,JAX,1.0,-7.5,42.0,70.0,129.70000000000005,1.10416666667,0.75,-0.546180555556,-0.958333333333,-3.0,0.0702576466334,0.270833333333,-0.569011713884,-0.0413607388719,1.35416666667,0.115423592631,-2.0625,0.875,0.6875,-28.3958333333,1.0,1.0,0.0
2003,3.0,LAC,BAL,0.0,-1.5,38.5,74.0,-85.375,-6.64583333333,-0.3125,-0.786111111111,-0.1875,-74.8125,-0.508349079628,59.4375,0.814282644498,0.0626667502613,1.41666666667,-0.0876013198688,-1.35416666667,0.375,-0.833333333333,-5.85416666667,0.0,0.0,0.0
2003,3.0,MIA,BUF,1.0,-3.0,40.5,84.0,-2.0989999999999327,-9.35416666667,-0.3125,-0.796527777778,-0.645833333333,59.875,1.39342310726,-69.3541666667,-1.21811595721,-0.0334000563038,-2.77083333333,-0.109810646987,-0.270833333333,0.333333333333,0.645833333333,-22.5833333333,1.0,1.0,0.0
2003,3.0,NE,NYJ,1.0,-6.0,38.0,71.0,29.072999999999865,3.125,0.333333333333,4.59791666667,0.333333333333,27.375,0.779796061885,-25.3541666667,-1.23461457752,-0.054026891398,1.75,-0.0305628247431,0.645833333333,1.08333333333,1.10416666667,53.7083333333,1.0,1.0,1.0
2003,3.0,SEA,LAR,1.0,-3.0,47.0,63.0,33.56600000000003,9.14583333333,0.333333333333,-4.81423611111,1.02083333333,57.9791666667,0.705267626957,-65.9166666667,0.821836670921,-0.120135559037,-1.33333333333,0.0154267478297,-2.60416666667,-0.5625,-3.02083333333,-0.645833333333,1.0,0.0,0.0
2003,3.0,SF,CLE,0.0,-7.0,44.5,87.0,82.11999999999989,18.4791666667,0.354166666667,2.90208333333,2.04166666667,63.7708333333,1.13044810771,58.9375,0.770654404056,-0.0153265923061,6.64583333333,0.0964354205095,-0.9375,-0.916666666667,-0.958333333333,8.16666666667,0.0,0.0,0.0
2003,3.0,TEN,NO,0.0,-4.5,43.5,74.0,68.82899999999995,-4.35416666667,0.0416666666667,0.418055555556,-0.4375,-21.75,-0.861168859084,-3.85416666667,0.142925526242,0.0307911412669,1.10416666667,-0.0933751443297,0.333333333333,0.333333333333,-0.104166666667,5.58333333333,1.0,1.0,0.0
2003,3.0,WAS,NYG,1.0,-1.5,43.5,77.0,-30.268000000000256,-2.27083333333,0.270833333333,4.65625,0.354166666667,27.9583333333,0.172568601622,-3.1875,1.01170380914,0.116979205329,1.25,-0.0726821461701,2.29166666667,-0.208333333333,-0.395833333333,-8.72916666667,0.0,0.0,1.0
2003,4.0,BAL,KC,0.0,3.0,43.5,70.0,-58.565000000000055,-11.859375,-0.265625,-3.5140625,-1.625,22.09375,0.638717159123,-99.609375,-3.22975383946,-0.133801346859,-5.78125,-0.129994755794,0.734375,-0.484375,0.265625,22.28125,0.0,0.0,0.0
2003,4.0,BUF,PHI,0.0,-3.0,39.5,59.0,4.461000000000013,12.9427083333,0.375,3.17404513889,1.43229166667,-47.2291666667,-3.21042216699,49.5885416667,2.82355412843,0.0836372966042,-0.182291666667,0.139862234202,-2.07291666667,0.00520833333333,-1.43229166667,35.921875,0.0,0.0,0.0
2003,4.0,CAR,ATL,1.0,-6.0,35.5,75.0,-25.785000000000082,-5.90625,0.40625,1.18723958333,-1.09895833333,37.2083333333,0.703542302894,-52.109375,-1.17004575277,-0.0528930730626,-1.39583333333,-0.0118799634019,0.604166666667,-0.145833333333,-0.255208333333,44.2239583333,1.0,1.0,0.0
2003,4.0,CHI,GB,1.0,4.0,41.5,58.0,-110.92099999999982,-10.9479166667,-0.354166666667,-5.83185763889,-1.09895833333,-39.203125,-0.375190980379,-81.1927083333,-1.12624549435,-0.0857592176161,-7.80208333333,-0.154374699375,2.91145833333,-0.0416666666667,0.0416666666667,-5.34895833333,0.0,0.0,1.0
2003,4.0,CLE,CIN,1.0,-4.5,40.0,55.0,139.1590000000001,-0.984375,0.359375,0.464583333333,-0.140625,-8.796875,0.0454667045345,-40.5,-1.16283336443,0.00253708061565,-2.0625,0.0554410956877,-1.03125,0.0,-0.0625,8.140625,0.0,0.0,0.0
2003,4.0,DEN,DET,0.0,-12.0,44.0,66.0,246.74299999999994,10.59375,0.59375,4.52135416667,1.46875,105.328125,1.78724917478,-29.53125,1.52630923876,0.0638783525296,4.546875,0.0538902882962,0.65625,-0.828125,-0.5625,4.890625,1.0,0.0,0.0
2003,4.0,HOU,JAX,1.0,2.5,37.5,70.0,-83.23799999999983,-3.796875,0.21875,1.04479166667,-0.8125,-14.84375,-0.878849128119,15.609375,-0.113187117831,-0.123147191106,-1.046875,-0.0484418456424,-0.21875,1.09375,1.21875,7.59375,1.0,1.0,1.0
2003,4.0,LAR,ARI,1.0,-11.5,45.5,70.0,141.87700000000018,5.59375,0.03125,-0.4375,0.359375,-21.28125,-0.468228445905,3.59375,0.0216341598448,0.0656544308737,0.140625,-0.170621064217,1.828125,-0.671875,0.40625,-16.28125,1.0,1.0,1.0
2003,4.0,MIN,SF,0.0,0.0,43.0,70.0,-3.2439999999999145,-1.640625,0.4375,-0.6515625,0.59375,28.609375,0.816699010454,5.3125,1.4963076318,0.00661743150643,0.625,0.0924846487712,1.421875,-0.296875,0.375,1.71875,1.0,1.0,0.0
2003,4.0,NO,IND,0.0,1.5,42.0,70.0,-91.92700000000013,-1.703125,-0.515625,-2.16041666667,0.3125,-6.328125,-0.197877035264,-3.09375,0.231395590397,-0.029366450518,-3.515625,-1.3557474926e-05,1.46875,-0.5625,0.71875,29.828125,0.0,0.0,1.0
2003,4.0,NYJ,DAL,0.0,-3.0,37.0,65.0,94.99800000000005,-5.16145833333,-0.296875,-6.20772569444,-0.109375,-60.84375,-1.35024353358,-1.78125,-1.07252705912,0.0860669121446,-2.58333333333,-0.004705400982,-2.45833333333,-0.34375,-0.911458333333,-34.671875,0.0,0.0,0.0
2003,4.0,OAK,LAC,1.0,-7.0,41.5,63.0,190.12800000000016,5.828125,0.296875,-4.14765625,0.171875,-33.359375,-0.617519010077,-5.390625,0.114901664582,-0.00426119988935,-4.421875,-0.0219153371381,1.4375,-1.34375,-1.078125,34.015625,1.0,0.0,1.0
2003,4.0,PIT,TEN,0.0,-3.5,44.0,60.0,-14.810999999999694,3.359375,-0.015625,-0.969791666667,0.296875,15.625,0.446679745483,30.0,0.590390801082,-0.00748236598574,-0.265625,0.0160674703556,-0.046875,0.609375,0.421875,9.453125,0.0,0.0,0.0
2003,4.0,WAS,NE,0.0,-3.5,43.0,65.0,-73.87999999999988,2.84375,-0.03125,1.00729166667,0.703125,29.703125,0.920134547736,65.203125,1.95597575395,0.0163256134945,3.234375,0.0196200857966,1.109375,-0.40625,0.25,-2.859375,1.0,0.0,0.0
2003,5.0,ATL,MIN,0.0,4.5,43.5,70.0,-60.47000000000003,-8.05,-0.55,-2.89729166667,-1.25,-44.7375,-0.769725391947,-63.675,-2.37401908622,-0.0635902753611,-4.625,-0.244360637323,0.6375,1.2625,0.825,-14.4,0.0,0.0,1.0
2003,5.0,BUF,CIN,0.0,-7.0,40.0,51.0,147.18900000000008,6.85,0.275,-1.399375,0.7375,-22.675,-0.525975989306,13.8875,0.765770825751,-0.034939267913,-0.3,-0.0066133089443,-0.1875,-0.2875,-0.25,30.4375,1.0,0.0,0.0
2003,5.0,CAR,NO,1.0,-7.0,37.5,71.0,70.52000000000021,-1.41875,0.546875,1.92442708333,-0.28125,47.43125,0.428106765609,-70.76875,-1.43103218368,-0.086058407513,-0.01875,-0.137195931004,-0.075,0.55625,-0.5,7.828125,1.0,0.0,0.0
2003,5.0,CHI,OAK,0.0,3.5,43.5,58.0,-206.0429999999999,-7.884375,-0.475,-1.01385416667,-0.71875,12.575,0.000915439170584,-79.865625,-1.33125257287,-0.0291775558598,-2.0625,0.00922835140657,1.0875,1.25625,1.509375,-42.075,1.0,1.0,1.0
2003,5.0,DAL,ARI,0.0,-7.5,39.5,70.0,89.52500000000009,4.965625,0.315625,3.14416666667,0.028125,58.11875,0.920946544017,-2.296875,0.892860840681,-0.06272026487,1.378125,-0.0965249907098,1.58125,-0.475,-1.50625,2.45625,1.0,1.0,0.0
2003,5.0,GB,SEA,0.0,-1.0,45.0,48.0,-28.56600000000026,-1.421875,-0.309375,1.9325,0.1,5.725,0.39279824855,11.01875,-1.02221276121,0.0953815281263,0.703125,0.000830808080808,-1.978125,1.1,1.6625,6.7375,1.0,1.0,1.0
2003,5.0,JAX,LAC,0.0,-3.0,42.5,84.0,18.466000000000122,0.9375,-0.025,-3.29520833333,0.0125,-28.2,-0.739410250217,-3.325,0.820699502835,0.0389282721713,-2.875,0.0357918410092,1.225,-0.8875,-0.1125,-13.1,1.0,1.0,1.0
2003,5.0,KC,DEN,1.0,-3.5,46.5,69.0,-8.923999999999978,2.7375,-0.0125,-2.36979166667,0.1375,-11.2,-0.128752562132,4.675,0.284409017227,0.0159134218639,-0.775,0.0115810440563,-0.05,0.3125,0.05,-17.8125,1.0,0.0,1.0
2003,5.0,NE,TEN,0.0,-1.0,40.5,53.0,-59.093999999999824,-3.425,-0.225,-0.432291666667,-0.6125,23.65,0.871830554917,-10.7875,-1.44207503493,-0.103927149321,0.7,-0.0225090160384,0.325,0.9875,0.7875,11.05,1.0,1.0,1.0
2003,5.0,NYG,MIA,0.0,-1.5,38.0,55.0,-16.802999999999884,4.34375,0.015625,-3.784375,-0.390625,-36.796875,0.000726923120351,57.078125,-0.455746081272,-0.0634623418486,0.078125,-0.0613816359582,0.234375,-0.515625,-0.296875,34.75,0.0,0.0,0.0
2003,5.0,PHI,WAS,1.0,-4.5,40.5,63.0,52.78399999999988,-7.103125,-0.25,-3.30255208333,-0.81875,4.725,1.33187037505,-63.65,-2.34242146075,-0.0437066026933,-1.178125,-0.0171298921667,0.3375,0.271875,0.875,-37.534375,1.0,0.0,1.0
2003,5.0,PIT,CLE,1.0,-7.0,42.0,51.0,102.10400000000004,8.175,0.2125,3.47458333333,0.65,21.7125,0.0605603594521,75.05,1.41075195512,0.0348191504088,4.6,-0.00911214568165,0.3875,0.0,0.0625,13.9375,0.0,0.0,1.0
2003,5.0,SF,DET,0.0,-7.5,42.5,66.0,141.0139999999999,3.7625,0.0875,4.478125,0.3375,46.9875,0.762497590931,23.7875,0.913976017255,0.0661984031666,2.85,0.0234359878804,0.625,-0.1875,0.025,10.2125,1.0,0.0,0.0
2003,5.0,TB,IND,0.0,-4.5,37.5,82.0,84.27499999999986,-8.70625,-0.2375,3.86807291667,-0.284375,1.915625,-0.320965459897,12.490625,-1.12356408536,-0.027449443492,0.934375,-0.0744561421745,0.253125,-0.18125,0.078125,65.753125,0.0,0.0,1.0
2003,6.0,ARI,BAL,0.0,6.5,37.0,96.0,-153.74399999999991,-6.95416666667,-0.26875,0.114756944444,-0.304166666667,-104.24375,-2.01820607127,84.9875,1.33745087584,0.0553991925021,-1.54166666667,0.0673803217155,-0.752083333333,0.1875,0.464583333333,1.88541666667,0.0,0.0,1.0
2003,6.0,CLE,OAK,0.0,-3.5,43.5,62.0,-85.08199999999988,-5.9375,-0.0208333333333,4.16996527778,-0.270833333333,-8.86458333333,-1.11713738001,-19.0729166667,0.352044036619,0.0878640533732,0.760416666667,0.1552519404,-0.677083333333,0.625,0.791666666667,-27.09375,1.0,1.0,0.0
2003,6.0,DAL,PHI,1.0,-1.0,37.5,70.0,-99.54800000000023,3.325,0.1125,4.72104166667,0.1375,0.375,-1.36275596997,67.4625,2.54926212644,0.0175417735065,-0.325,-0.00535714285714,-0.975,-0.1375,-0.875,10.9625,1.0,1.0,1.0
2003,6.0,DEN,PIT,0.0,-6.5,45.0,73.0,123.019,7.35416666667,0.322916666667,1.41857638889,0.84375,70.0208333333,1.55139095631,-38.9166666667,0.129727033609,-0.0131364359592,1.8125,0.0347621465074,-0.875,-0.854166666667,-0.927083333333,-21.28125,1.0,0.0,0.0
2003,6.0,GB,KC,0.0,-2.5,47.5,60.0,-46.924999999999955,-2.21875,-0.291666666667,-0.0342013888889,0.375,-12.3020833333,-0.0961176337422,14.0520833333,-0.579686611904,0.0466132258956,1.57291666667,0.0743014043014,-0.989583333333,0.197916666667,0.46875,5.38541666667,0.0,0.0,1.0
2003,6.0,IND,CAR,0.0,-4.0,37.5,70.0,95.59500000000003,11.14375,0.05,0.370833333333,1.38125,-64.2645833333,-0.882119498666,122.597916667,2.47109871437,0.131364942927,2.7,0.0889803525201,-0.84375,-0.210416666667,-0.533333333333,-19.6416666667,0.0,0.0,1.0
2003,6.0,JAX,MIA,0.0,3.5,38.0,75.0,-187.9659999999999,-0.841666666667,-0.483333333333,-4.10357638889,-0.30625,-36.78125,-0.126648670894,41.9125,0.4182831387,0.0416868309193,-1.44375,-0.0846181459361,0.925,-0.39375,-0.485416666667,14.9979166667,0.0,0.0,0.0
2003,6.0,LAR,ATL,0.0,-10.0,46.0,70.0,71.60799999999972,3.59583333333,0.216666666667,5.70822916667,0.177083333333,-17.5041666667,-0.964082586184,57.06875,-0.0816157980758,0.0733943589462,5.87916666667,0.16822044198,0.1,-0.654166666667,0.68125,-12.7770833333,1.0,1.0,0.0
2003,6.0,NE,NYG,0.0,-2.5,42.5,55.0,50.60200000000009,0.335416666667,0.06875,1.07822916667,0.0395833333333,7.50416666667,0.0766749668998,-42.3270833333,-0.444681958407,0.0143786785503,-1.87083333333,0.061148764703,0.989583333333,0.1375,-0.5875,1.88541666667,1.0,1.0,0.0
2003,6.0,NO,CHI,0.0,-6.5,43.0,70.0,37.156000000000176,2.0875,0.0104166666667,1.58201388889,0.20625,-11.7916666667,-0.466324385044,60.7395833333,1.4041103093,0.0557938217987,1.31458333333,0.175010699655,-1.66458333333,-1.00208333333,-0.491666666667,6.38958333333,1.0,1.0,0.0
2003,6.0,NYJ,BUF,1.0,1.0,36.5,65.0,-43.17699999999968,-8.96041666667,-0.470833333333,-1.88697916667,-1.36458333333,-3.26666666667,0.257879740743,10.44375,-0.626952251402,0.0614769128256,-1.98125,-0.0382756515233,-1.7625,-0.297916666667,-0.285416666667,-37.54375,1.0,1.0,0.0
2003,6.0,SEA,SF,1.0,-3.5,44.5,59.0,28.018999999999778,1.68125,0.25,-5.70965277778,0.210416666667,-12.625,0.126152384106,-14.1354166667,0.60492861148,-0.018644028291,-0.025,0.0291642171272,0.683333333333,-0.670833333333,-0.560416666667,-19.11875,1.0,0.0,0.0
2003,6.0,TEN,HOU,1.0,-8.5,39.5,69.0,239.78199999999993,7.19375,0.164583333333,1.26611111111,0.616666666667,-22.9708333333,-0.636025254637,32.7041666667,1.26236130632,0.11873318742,1.71666666667,0.08687028858,-0.297916666667,-0.73125,-1.10208333333,3.81041666667,1.0,1.0,1.0
2003,6.0,WAS,TB,0.0,3.5,37.0,71.0,-163.43300000000022,-0.360416666667,0.0229166666667,-5.48927083333,-0.175,12.18125,0.746628844128,-24.4,0.260957592007,-0.0871458540606,-1.16458333333,-0.0690226660815,2.31666666667,0.15,0.520833333333,-20.3125,0.0,0.0,1.0
2003,7.0,ATL,NO,1.0,3.0,42.0,70.0,-7.532999999999902,-1.66666666667,-0.166666666667,-2.07777777778,0.166666666667,-20.3333333333,0.0799362431142,-9.0,0.0273302601671,-0.0300344557077,-1.66666666667,-0.254388821533,1.5,1.33333333333,0.833333333333,-16.1666666667,0.0,0.0,1.0
2003,7.0,BUF,WAS,0.0,-3.0,38.0,44.0,3.8610000000001037,-2.33333333333,0.0,-2.01944444444,0.0,-50.0,-1.458437514,-30.6666666667,-0.311563663133,-0.0086046883584,-3.5,-0.0189119839855,-0.666666666667,0.0,0.0,-12.0,1.0,1.0,0.0
2003,7.0,CAR,TEN,0.0,0.0,37.5,67.0,-51.14599999999996,-6.64583333333,0.239583333333,0.229340277778,-0.895833333333,83.5208333333,1.71509200538,-136.9375,-3.15794360568,-0.124989239086,-2.1875,-0.0393681481917,-0.0416666666667,0.5625,0.583333333333,-8.98958333333,0.0,0.0,1.0
2003,7.0,CIN,BAL,1.0,1.0,36.0,63.0,-166.17599999999993,-5.55208333333,-0.385416666667,1.43263888889,0.177083333333,-102.979166667,-2.31092117245,105.885416667,1.80588773447,0.107697192878,1.5625,0.0541013819699,-0.0416666666667,0.0833333333333,-0.135416666667,-4.77083333333,1.0,1.0,1.0
